chrpos	count	fre	treat	sampleID
1:25901634	1	0.0625	Post	KTN102
1:26121896	1	0.0625	Post	KTN102
1:26348659	2	0.125	Post	KTN102
1:26579689	2	0.125	Post	KTN102
1:26814478	2	0.125	Post	KTN102
1:27061301	2	0.125	Post	KTN102
1:27301852	2	0.125	Post	KTN102
1:27549666	2	0.125	Post	KTN102
1:27785218	2	0.125	Post	KTN102
1:28012250	2	0.125	Post	KTN102
1:28257751	2	0.125	Post	KTN102
1:28491044	2	0.125	Post	KTN102
1:28744702	2	0.125	Post	KTN102
1:29006012	2	0.125	Post	KTN102
1:29251998	1	0.0625	Post	KTN102
1:29489651	1	0.0625	Post	KTN102
1:30073161	1	0.0625	Post	KTN102
1:30286126	1	0.0625	Post	KTN102
1:30495854	1	0.0625	Post	KTN102
1:30708252	1	0.0625	Post	KTN102
1:30924456	1	0.0625	Post	KTN102
1:31149501	1	0.0625	Post	KTN102
1:31359927	3	0.1875	Post	KTN102
1:31591440	5	0.3125	Post	KTN102
1:31831889	9	0.5625	Post	KTN102
2:0	2	0.125	Post	KTN102
2:237131	2	0.125	Post	KTN102
2:454245	2	0.125	Post	KTN102
2:660286	2	0.125	Post	KTN102
2:880416	2	0.125	Post	KTN102
2:1095646	2	0.125	Post	KTN102
2:1324439	2	0.125	Post	KTN102
2:1556885	2	0.125	Post	KTN102
2:1781522	2	0.125	Post	KTN102
2:1991579	2	0.125	Post	KTN102
2:2211803	2	0.125	Post	KTN102
2:2425099	2	0.125	Post	KTN102
2:2635005	2	0.125	Post	KTN102
2:2847081	2	0.125	Post	KTN102
2:3058704	2	0.125	Post	KTN102
2:3276735	2	0.125	Post	KTN102
2:3497178	2	0.125	Post	KTN102
2:3770285	2	0.125	Post	KTN102
2:3996647	2	0.125	Post	KTN102
2:4217703	2	0.125	Post	KTN102
2:4430144	2	0.125	Post	KTN102
2:4639740	3	0.1875	Post	KTN102
2:4863428	3	0.1875	Post	KTN102
2:5174412	3	0.1875	Post	KTN102
2:5385523	3	0.1875	Post	KTN102
2:5596347	3	0.1875	Post	KTN102
2:5826472	3	0.1875	Post	KTN102
2:6039060	3	0.1875	Post	KTN102
2:6246369	3	0.1875	Post	KTN102
2:6458239	3	0.1875	Post	KTN102
2:6669777	3	0.1875	Post	KTN102
2:6875564	3	0.1875	Post	KTN102
2:7085430	3	0.1875	Post	KTN102
2:7294145	3	0.1875	Post	KTN102
2:7504261	3	0.1875	Post	KTN102
2:7712999	3	0.1875	Post	KTN102
2:7921718	3	0.1875	Post	KTN102
2:8132567	3	0.1875	Post	KTN102
2:8347812	3	0.1875	Post	KTN102
2:8554529	3	0.1875	Post	KTN102
2:8762793	3	0.1875	Post	KTN102
2:8972142	3	0.1875	Post	KTN102
2:9197798	3	0.1875	Post	KTN102
2:9417149	3	0.1875	Post	KTN102
2:9633893	3	0.1875	Post	KTN102
2:9862250	3	0.1875	Post	KTN102
2:10087378	3	0.1875	Post	KTN102
2:10311368	3	0.1875	Post	KTN102
2:10525830	3	0.1875	Post	KTN102
2:10742075	3	0.1875	Post	KTN102
2:10971867	3	0.1875	Post	KTN102
2:11189126	3	0.1875	Post	KTN102
2:11412909	3	0.1875	Post	KTN102
2:11635772	3	0.1875	Post	KTN102
2:11849073	3	0.1875	Post	KTN102
2:12071538	3	0.1875	Post	KTN102
2:12284146	3	0.1875	Post	KTN102
2:12491517	3	0.1875	Post	KTN102
2:12706757	3	0.1875	Post	KTN102
2:12920276	3	0.1875	Post	KTN102
2:13132869	3	0.1875	Post	KTN102
2:13344262	3	0.1875	Post	KTN102
2:13569926	3	0.1875	Post	KTN102
2:13794552	3	0.1875	Post	KTN102
2:14017595	3	0.1875	Post	KTN102
2:14234540	3	0.1875	Post	KTN102
2:14450182	3	0.1875	Post	KTN102
2:14672572	3	0.1875	Post	KTN102
2:14879638	4	0.25	Post	KTN102
2:15102323	4	0.25	Post	KTN102
2:15310597	4	0.25	Post	KTN102
2:15528078	4	0.25	Post	KTN102
2:15744771	4	0.25	Post	KTN102
2:15956341	4	0.25	Post	KTN102
2:16178347	4	0.25	Post	KTN102
2:16447680	4	0.25	Post	KTN102
2:16655328	4	0.25	Post	KTN102
2:16865830	4	0.25	Post	KTN102
2:17083925	4	0.25	Post	KTN102
2:17295930	4	0.25	Post	KTN102
2:17505088	4	0.25	Post	KTN102
2:17726049	4	0.25	Post	KTN102
2:17936706	4	0.25	Post	KTN102
2:18155653	4	0.25	Post	KTN102
2:18384567	4	0.25	Post	KTN102
2:18596100	4	0.25	Post	KTN102
2:18805900	4	0.25	Post	KTN102
2:19022312	4	0.25	Post	KTN102
2:19271977	4	0.25	Post	KTN102
2:19493930	4	0.25	Post	KTN102
2:19710085	4	0.25	Post	KTN102
2:19921334	4	0.25	Post	KTN102
2:20136132	4	0.25	Post	KTN102
2:20353943	4	0.25	Post	KTN102
2:20566626	4	0.25	Post	KTN102
2:20786270	4	0.25	Post	KTN102
2:20996024	4	0.25	Post	KTN102
2:21240169	4	0.25	Post	KTN102
2:21458384	4	0.25	Post	KTN102
2:21669904	4	0.25	Post	KTN102
2:21884794	4	0.25	Post	KTN102
2:22090055	4	0.25	Post	KTN102
2:22301807	4	0.25	Post	KTN102
2:22517503	4	0.25	Post	KTN102
2:22729981	4	0.25	Post	KTN102
2:22940153	4	0.25	Post	KTN102
2:23150953	4	0.25	Post	KTN102
2:23364085	4	0.25	Post	KTN102
2:23580215	4	0.25	Post	KTN102
2:23788637	4	0.25	Post	KTN102
2:24003776	4	0.25	Post	KTN102
2:24241491	3	0.1875	Post	KTN102
2:24476728	3	0.1875	Post	KTN102
2:24707236	3	0.1875	Post	KTN102
2:24926239	3	0.1875	Post	KTN102
2:25153589	3	0.1875	Post	KTN102
2:25384657	3	0.1875	Post	KTN102
2:25607121	3	0.1875	Post	KTN102
2:25832637	3	0.1875	Post	KTN102
2:26062306	3	0.1875	Post	KTN102
2:26308268	3	0.1875	Post	KTN102
2:26535899	3	0.1875	Post	KTN102
2:26752961	3	0.1875	Post	KTN102
2:26965060	3	0.1875	Post	KTN102
2:27190806	3	0.1875	Post	KTN102
2:27410306	3	0.1875	Post	KTN102
2:27644202	3	0.1875	Post	KTN102
2:27878065	3	0.1875	Post	KTN102
2:28099720	3	0.1875	Post	KTN102
2:28314449	3	0.1875	Post	KTN102
2:28534744	3	0.1875	Post	KTN102
2:28747431	3	0.1875	Post	KTN102
2:28964954	3	0.1875	Post	KTN102
2:29191824	3	0.1875	Post	KTN102
2:29406476	3	0.1875	Post	KTN102
2:29615038	3	0.1875	Post	KTN102
2:29824363	3	0.1875	Post	KTN102
2:30034926	3	0.1875	Post	KTN102
2:30245848	3	0.1875	Post	KTN102
2:30462558	3	0.1875	Post	KTN102
2:30678032	3	0.1875	Post	KTN102
2:30895110	3	0.1875	Post	KTN102
2:31116225	3	0.1875	Post	KTN102
2:31328472	3	0.1875	Post	KTN102
2:31540078	3	0.1875	Post	KTN102
2:31762345	3	0.1875	Post	KTN102
2:31995045	3	0.1875	Post	KTN102
2:32228293	4	0.25	Post	KTN102
2:32472763	4	0.25	Post	KTN102
2:32709786	4	0.25	Post	KTN102
2:32938995	4	0.25	Post	KTN102
2:33162830	4	0.25	Post	KTN102
2:33380574	5	0.3125	Post	KTN102
2:33605792	5	0.3125	Post	KTN102
2:33827722	5	0.3125	Post	KTN102
2:34056545	5	0.3125	Post	KTN102
2:34279359	5	0.3125	Post	KTN102
2:34495366	5	0.3125	Post	KTN102
2:34709769	5	0.3125	Post	KTN102
2:34950761	5	0.3125	Post	KTN102
2:35170283	5	0.3125	Post	KTN102
2:35390376	5	0.3125	Post	KTN102
2:35607986	4	0.25	Post	KTN102
2:35830852	4	0.25	Post	KTN102
2:36050567	4	0.25	Post	KTN102
2:36266401	4	0.25	Post	KTN102
2:36499950	4	0.25	Post	KTN102
2:36709241	4	0.25	Post	KTN102
2:36923239	5	0.3125	Post	KTN102
2:37141538	5	0.3125	Post	KTN102
2:37374829	5	0.3125	Post	KTN102
2:37592925	5	0.3125	Post	KTN102
2:37811360	5	0.3125	Post	KTN102
2:38028953	5	0.3125	Post	KTN102
2:38254925	6	0.375	Post	KTN102
2:38474428	6	0.375	Post	KTN102
2:38704454	6	0.375	Post	KTN102
2:38932371	6	0.375	Post	KTN102
2:39168524	6	0.375	Post	KTN102
2:39388510	6	0.375	Post	KTN102
2:39610271	6	0.375	Post	KTN102
2:39834069	5	0.3125	Post	KTN102
2:40049280	5	0.3125	Post	KTN102
2:40276135	5	0.3125	Post	KTN102
2:40493251	5	0.3125	Post	KTN102
2:40699352	5	0.3125	Post	KTN102
2:40910973	5	0.3125	Post	KTN102
2:41125813	5	0.3125	Post	KTN102
2:41339966	5	0.3125	Post	KTN102
2:41552098	5	0.3125	Post	KTN102
2:41771668	5	0.3125	Post	KTN102
2:41990999	5	0.3125	Post	KTN102
2:42199956	5	0.3125	Post	KTN102
2:42420127	5	0.3125	Post	KTN102
2:42637302	5	0.3125	Post	KTN102
2:42881773	5	0.3125	Post	KTN102
2:43103840	5	0.3125	Post	KTN102
2:43325707	5	0.3125	Post	KTN102
2:43549191	5	0.3125	Post	KTN102
2:43762453	4	0.25	Post	KTN102
2:43992801	4	0.25	Post	KTN102
2:44209599	4	0.25	Post	KTN102
2:44441664	4	0.25	Post	KTN102
2:44667124	4	0.25	Post	KTN102
2:44888804	4	0.25	Post	KTN102
2:45099634	4	0.25	Post	KTN102
2:45325227	4	0.25	Post	KTN102
2:45533908	4	0.25	Post	KTN102
2:45745401	4	0.25	Post	KTN102
2:45955647	4	0.25	Post	KTN102
2:46165347	4	0.25	Post	KTN102
2:46372601	4	0.25	Post	KTN102
2:46585706	4	0.25	Post	KTN102
2:46798007	4	0.25	Post	KTN102
2:47014294	4	0.25	Post	KTN102
2:47228235	4	0.25	Post	KTN102
2:47449120	4	0.25	Post	KTN102
2:47689911	4	0.25	Post	KTN102
2:47908484	4	0.25	Post	KTN102
2:48141942	4	0.25	Post	KTN102
2:48369812	4	0.25	Post	KTN102
2:48589860	4	0.25	Post	KTN102
2:48818027	4	0.25	Post	KTN102
2:49043130	4	0.25	Post	KTN102
2:49257602	4	0.25	Post	KTN102
2:49480681	4	0.25	Post	KTN102
2:49701810	4	0.25	Post	KTN102
2:49920412	4	0.25	Post	KTN102
2:50136571	4	0.25	Post	KTN102
2:50344179	4	0.25	Post	KTN102
2:50551388	4	0.25	Post	KTN102
2:50759735	4	0.25	Post	KTN102
2:50965189	4	0.25	Post	KTN102
2:51171107	4	0.25	Post	KTN102
2:51377054	4	0.25	Post	KTN102
2:51594552	5	0.3125	Post	KTN102
2:51816027	5	0.3125	Post	KTN102
2:52034168	4	0.25	Post	KTN102
2:52255936	4	0.25	Post	KTN102
2:52469423	4	0.25	Post	KTN102
2:52685096	4	0.25	Post	KTN102
2:52900279	4	0.25	Post	KTN102
2:53111488	4	0.25	Post	KTN102
2:53328768	4	0.25	Post	KTN102
2:53546053	4	0.25	Post	KTN102
2:53763682	4	0.25	Post	KTN102
2:53985666	4	0.25	Post	KTN102
2:54209142	4	0.25	Post	KTN102
2:54437832	4	0.25	Post	KTN102
2:54648395	4	0.25	Post	KTN102
2:54861236	4	0.25	Post	KTN102
2:55070386	4	0.25	Post	KTN102
2:55278973	4	0.25	Post	KTN102
2:55504619	4	0.25	Post	KTN102
2:55738535	4	0.25	Post	KTN102
2:55976882	4	0.25	Post	KTN102
2:56203008	4	0.25	Post	KTN102
2:56428374	4	0.25	Post	KTN102
2:56638718	4	0.25	Post	KTN102
2:56867225	4	0.25	Post	KTN102
2:57091062	4	0.25	Post	KTN102
2:57310016	4	0.25	Post	KTN102
2:57539967	4	0.25	Post	KTN102
2:57756554	4	0.25	Post	KTN102
2:57979599	4	0.25	Post	KTN102
2:58187101	4	0.25	Post	KTN102
2:58407975	4	0.25	Post	KTN102
2:58631787	4	0.25	Post	KTN102
2:58842769	4	0.25	Post	KTN102
2:59050190	4	0.25	Post	KTN102
2:59256090	4	0.25	Post	KTN102
2:59471785	4	0.25	Post	KTN102
2:59690171	4	0.25	Post	KTN102
2:59903286	4	0.25	Post	KTN102
2:60111629	4	0.25	Post	KTN102
2:60326701	4	0.25	Post	KTN102
2:60552901	4	0.25	Post	KTN102
2:60764395	4	0.25	Post	KTN102
2:60985122	4	0.25	Post	KTN102
2:61210637	4	0.25	Post	KTN102
2:61446019	4	0.25	Post	KTN102
2:61668468	4	0.25	Post	KTN102
2:61910747	4	0.25	Post	KTN102
2:62146582	4	0.25	Post	KTN102
2:62378672	4	0.25	Post	KTN102
2:62603718	4	0.25	Post	KTN102
2:62830874	4	0.25	Post	KTN102
2:63072772	4	0.25	Post	KTN102
2:63283552	4	0.25	Post	KTN102
2:63512609	4	0.25	Post	KTN102
2:63744461	4	0.25	Post	KTN102
2:63976583	4	0.25	Post	KTN102
2:64193138	4	0.25	Post	KTN102
2:64417294	4	0.25	Post	KTN102
2:64633031	4	0.25	Post	KTN102
2:64845500	4	0.25	Post	KTN102
2:65058846	4	0.25	Post	KTN102
2:65282844	4	0.25	Post	KTN102
2:65520026	4	0.25	Post	KTN102
2:65740977	4	0.25	Post	KTN102
2:65960022	4	0.25	Post	KTN102
2:66175725	4	0.25	Post	KTN102
2:66398684	4	0.25	Post	KTN102
2:66630630	4	0.25	Post	KTN102
2:66840586	4	0.25	Post	KTN102
2:67067534	4	0.25	Post	KTN102
2:67277343	4	0.25	Post	KTN102
2:67491187	4	0.25	Post	KTN102
2:67711038	4	0.25	Post	KTN102
2:67928568	4	0.25	Post	KTN102
2:68140704	4	0.25	Post	KTN102
2:68363834	4	0.25	Post	KTN102
2:68580940	4	0.25	Post	KTN102
2:68806809	4	0.25	Post	KTN102
2:69028675	4	0.25	Post	KTN102
2:69241481	4	0.25	Post	KTN102
2:69446747	4	0.25	Post	KTN102
2:69672992	4	0.25	Post	KTN102
2:69894701	4	0.25	Post	KTN102
2:70119138	4	0.25	Post	KTN102
2:70344704	4	0.25	Post	KTN102
2:70592808	4	0.25	Post	KTN102
2:70807019	4	0.25	Post	KTN102
2:71022871	4	0.25	Post	KTN102
2:71251148	4	0.25	Post	KTN102
2:71508690	4	0.25	Post	KTN102
2:71729368	4	0.25	Post	KTN102
2:71937797	4	0.25	Post	KTN102
2:72144302	4	0.25	Post	KTN102
2:72364950	4	0.25	Post	KTN102
2:72578130	4	0.25	Post	KTN102
2:72805318	4	0.25	Post	KTN102
2:73028451	4	0.25	Post	KTN102
2:73237386	4	0.25	Post	KTN102
2:73465888	4	0.25	Post	KTN102
2:73679274	4	0.25	Post	KTN102
2:73937965	4	0.25	Post	KTN102
2:74191171	4	0.25	Post	KTN102
2:74412155	4	0.25	Post	KTN102
2:74631418	4	0.25	Post	KTN102
2:74852278	4	0.25	Post	KTN102
2:75075477	4	0.25	Post	KTN102
2:75292230	4	0.25	Post	KTN102
2:75509405	4	0.25	Post	KTN102
2:75728237	4	0.25	Post	KTN102
2:75940643	4	0.25	Post	KTN102
2:76159687	4	0.25	Post	KTN102
2:76383962	4	0.25	Post	KTN102
2:76604230	4	0.25	Post	KTN102
2:76821020	4	0.25	Post	KTN102
2:77053224	4	0.25	Post	KTN102
2:77267213	4	0.25	Post	KTN102
2:77495393	4	0.25	Post	KTN102
2:77702726	5	0.3125	Post	KTN102
2:77938156	5	0.3125	Post	KTN102
2:78159902	5	0.3125	Post	KTN102
2:78372308	5	0.3125	Post	KTN102
2:78589747	5	0.3125	Post	KTN102
2:78805497	5	0.3125	Post	KTN102
2:79027103	5	0.3125	Post	KTN102
2:79235826	5	0.3125	Post	KTN102
2:79463380	5	0.3125	Post	KTN102
2:79678804	5	0.3125	Post	KTN102
2:79890783	5	0.3125	Post	KTN102
2:80103860	5	0.3125	Post	KTN102
2:80312487	5	0.3125	Post	KTN102
2:80530833	5	0.3125	Post	KTN102
2:80736238	5	0.3125	Post	KTN102
2:80946969	5	0.3125	Post	KTN102
2:81164371	5	0.3125	Post	KTN102
2:81376573	5	0.3125	Post	KTN102
2:81594968	6	0.375	Post	KTN102
2:81805009	6	0.375	Post	KTN102
2:82020691	6	0.375	Post	KTN102
2:82241544	6	0.375	Post	KTN102
2:82452343	6	0.375	Post	KTN102
2:82665052	6	0.375	Post	KTN102
2:82876507	6	0.375	Post	KTN102
2:83087502	6	0.375	Post	KTN102
2:83302887	6	0.375	Post	KTN102
2:83522110	6	0.375	Post	KTN102
2:83739015	6	0.375	Post	KTN102
2:83948370	6	0.375	Post	KTN102
2:84171998	6	0.375	Post	KTN102
2:84390280	6	0.375	Post	KTN102
2:84618570	6	0.375	Post	KTN102
2:84841562	6	0.375	Post	KTN102
2:85057587	6	0.375	Post	KTN102
2:85287402	6	0.375	Post	KTN102
2:85512396	6	0.375	Post	KTN102
2:85751534	6	0.375	Post	KTN102
2:85978730	6	0.375	Post	KTN102
2:86199059	6	0.375	Post	KTN102
2:86418280	6	0.375	Post	KTN102
2:86637784	6	0.375	Post	KTN102
2:88398377	6	0.375	Post	KTN102
2:88613047	6	0.375	Post	KTN102
2:88847466	6	0.375	Post	KTN102
2:89074867	6	0.375	Post	KTN102
2:95658972	6	0.375	Post	KTN102
2:95882175	6	0.375	Post	KTN102
2:96676186	6	0.375	Post	KTN102
2:96948654	6	0.375	Post	KTN102
2:97188511	6	0.375	Post	KTN102
2:97411854	6	0.375	Post	KTN102
2:98319590	5	0.3125	Post	KTN102
2:98538252	5	0.3125	Post	KTN102
2:98762632	5	0.3125	Post	KTN102
2:98976782	5	0.3125	Post	KTN102
2:99190333	5	0.3125	Post	KTN102
2:99407021	5	0.3125	Post	KTN102
2:99638215	6	0.375	Post	KTN102
2:99876116	6	0.375	Post	KTN102
2:100104655	6	0.375	Post	KTN102
2:100326006	6	0.375	Post	KTN102
2:100540747	6	0.375	Post	KTN102
2:100777849	6	0.375	Post	KTN102
2:100991469	6	0.375	Post	KTN102
2:101219536	6	0.375	Post	KTN102
2:101433651	6	0.375	Post	KTN102
2:101647859	6	0.375	Post	KTN102
2:101884545	6	0.375	Post	KTN102
2:102112953	6	0.375	Post	KTN102
2:102340793	6	0.375	Post	KTN102
2:102551623	6	0.375	Post	KTN102
2:102763242	6	0.375	Post	KTN102
2:102975473	6	0.375	Post	KTN102
2:103189147	7	0.4375	Post	KTN102
2:103401871	7	0.4375	Post	KTN102
2:103617932	7	0.4375	Post	KTN102
2:103835314	7	0.4375	Post	KTN102
2:104046196	7	0.4375	Post	KTN102
2:104262091	7	0.4375	Post	KTN102
2:104472729	7	0.4375	Post	KTN102
2:104678794	7	0.4375	Post	KTN102
2:104887060	7	0.4375	Post	KTN102
2:105095795	7	0.4375	Post	KTN102
2:105312132	7	0.4375	Post	KTN102
2:105520339	7	0.4375	Post	KTN102
2:105739133	5	0.3125	Post	KTN102
2:105960507	5	0.3125	Post	KTN102
2:106177081	5	0.3125	Post	KTN102
2:106387135	5	0.3125	Post	KTN102
2:106597714	5	0.3125	Post	KTN102
2:107178382	5	0.3125	Post	KTN102
2:107389524	5	0.3125	Post	KTN102
2:107602442	5	0.3125	Post	KTN102
2:107817347	5	0.3125	Post	KTN102
2:108030306	5	0.3125	Post	KTN102
2:108241181	5	0.3125	Post	KTN102
2:108530852	5	0.3125	Post	KTN102
2:108753544	5	0.3125	Post	KTN102
2:108972437	5	0.3125	Post	KTN102
2:109224430	5	0.3125	Post	KTN102
2:109509762	5	0.3125	Post	KTN102
2:109734534	5	0.3125	Post	KTN102
2:111497321	5	0.3125	Post	KTN102
2:111709233	5	0.3125	Post	KTN102
2:112767338	5	0.3125	Post	KTN102
2:113320452	5	0.3125	Post	KTN102
2:113546608	5	0.3125	Post	KTN102
2:113760820	5	0.3125	Post	KTN102
2:114439630	5	0.3125	Post	KTN102
2:114666816	5	0.3125	Post	KTN102
2:114890261	5	0.3125	Post	KTN102
2:115108397	5	0.3125	Post	KTN102
2:115325002	4	0.25	Post	KTN102
2:115535326	4	0.25	Post	KTN102
2:115750136	4	0.25	Post	KTN102
2:115969431	4	0.25	Post	KTN102
2:116186237	4	0.25	Post	KTN102
2:116401061	4	0.25	Post	KTN102
2:116614257	4	0.25	Post	KTN102
2:116842228	4	0.25	Post	KTN102
2:117065389	4	0.25	Post	KTN102
2:117280982	4	0.25	Post	KTN102
2:117498841	4	0.25	Post	KTN102
2:117714813	4	0.25	Post	KTN102
2:117939935	4	0.25	Post	KTN102
2:118155756	4	0.25	Post	KTN102
2:118389855	4	0.25	Post	KTN102
2:118624592	4	0.25	Post	KTN102
2:118850147	4	0.25	Post	KTN102
2:119066915	4	0.25	Post	KTN102
2:119283149	4	0.25	Post	KTN102
2:119491008	4	0.25	Post	KTN102
2:119703582	4	0.25	Post	KTN102
2:119928419	4	0.25	Post	KTN102
2:120142914	4	0.25	Post	KTN102
2:120355789	4	0.25	Post	KTN102
2:120576527	4	0.25	Post	KTN102
2:120797724	4	0.25	Post	KTN102
2:121030518	4	0.25	Post	KTN102
2:121239953	4	0.25	Post	KTN102
2:121446889	5	0.3125	Post	KTN102
2:121653782	5	0.3125	Post	KTN102
2:121860157	7	0.4375	Post	KTN102
2:122079824	7	0.4375	Post	KTN102
2:122295322	7	0.4375	Post	KTN102
2:122533496	7	0.4375	Post	KTN102
2:122751033	7	0.4375	Post	KTN102
2:122979062	8	0.5	Post	KTN102
2:134743898	11	0.6875	Post	KTN102
2:134970311	11	0.6875	Post	KTN102
2:135176451	11	0.6875	Post	KTN102
2:135391989	11	0.6875	Post	KTN102
2:135626534	11	0.6875	Post	KTN102
2:135850851	10	0.625	Post	KTN102
2:136089407	8	0.5	Post	KTN102
2:136334710	6	0.375	Post	KTN102
2:136557821	4	0.25	Post	KTN102
2:136782972	4	0.25	Post	KTN102
2:136995954	4	0.25	Post	KTN102
2:137212791	4	0.25	Post	KTN102
2:137427001	4	0.25	Post	KTN102
2:137641229	4	0.25	Post	KTN102
2:137866020	4	0.25	Post	KTN102
2:138085349	4	0.25	Post	KTN102
2:138308129	4	0.25	Post	KTN102
2:138530973	4	0.25	Post	KTN102
2:138747544	4	0.25	Post	KTN102
2:138957468	4	0.25	Post	KTN102
2:139174476	4	0.25	Post	KTN102
2:139395380	4	0.25	Post	KTN102
2:139606905	4	0.25	Post	KTN102
2:139820977	4	0.25	Post	KTN102
2:140031755	4	0.25	Post	KTN102
2:140248942	4	0.25	Post	KTN102
2:140465315	3	0.1875	Post	KTN102
2:140677328	3	0.1875	Post	KTN102
2:140891205	3	0.1875	Post	KTN102
2:141100497	3	0.1875	Post	KTN102
2:141312003	3	0.1875	Post	KTN102
2:141520486	3	0.1875	Post	KTN102
2:141733157	3	0.1875	Post	KTN102
2:141944559	3	0.1875	Post	KTN102
2:142154219	3	0.1875	Post	KTN102
2:142369022	3	0.1875	Post	KTN102
2:142575880	3	0.1875	Post	KTN102
2:142784130	3	0.1875	Post	KTN102
2:142990241	3	0.1875	Post	KTN102
2:143199176	3	0.1875	Post	KTN102
2:143417540	3	0.1875	Post	KTN102
2:143639728	2	0.125	Post	KTN102
2:143861653	2	0.125	Post	KTN102
2:144067320	2	0.125	Post	KTN102
2:144272981	2	0.125	Post	KTN102
2:144489491	2	0.125	Post	KTN102
2:144703562	2	0.125	Post	KTN102
2:144914237	2	0.125	Post	KTN102
2:145126327	2	0.125	Post	KTN102
2:145331331	2	0.125	Post	KTN102
2:145545400	3	0.1875	Post	KTN102
2:145759253	3	0.1875	Post	KTN102
2:145963791	3	0.1875	Post	KTN102
2:146169770	3	0.1875	Post	KTN102
2:146383552	3	0.1875	Post	KTN102
2:146591585	3	0.1875	Post	KTN102
2:146801846	3	0.1875	Post	KTN102
2:147013742	3	0.1875	Post	KTN102
2:147231309	3	0.1875	Post	KTN102
2:147445853	3	0.1875	Post	KTN102
2:147664158	3	0.1875	Post	KTN102
2:147874816	3	0.1875	Post	KTN102
2:148096320	3	0.1875	Post	KTN102
2:148305087	3	0.1875	Post	KTN102
2:148521853	3	0.1875	Post	KTN102
2:148735983	3	0.1875	Post	KTN102
2:148961892	3	0.1875	Post	KTN102
2:149202119	3	0.1875	Post	KTN102
2:149413472	3	0.1875	Post	KTN102
2:149635689	3	0.1875	Post	KTN102
2:149943832	3	0.1875	Post	KTN102
2:150156426	3	0.1875	Post	KTN102
2:150381945	3	0.1875	Post	KTN102
2:150599807	3	0.1875	Post	KTN102
2:150842746	3	0.1875	Post	KTN102
2:151060673	3	0.1875	Post	KTN102
2:151270945	3	0.1875	Post	KTN102
2:151483655	3	0.1875	Post	KTN102
2:151698435	3	0.1875	Post	KTN102
2:151910404	5	0.3125	Post	KTN102
2:152124365	8	0.5	Post	KTN102
2:152356408	8	0.5	Post	KTN102
2:152607639	8	0.5	Post	KTN102
2:152824671	8	0.5	Post	KTN102
